Response ID,EN/CN,How do you describe yourself? - Selected Choice,Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,What is your native language?,Have you watch the movie 'Back to the Future (1985)' before?,Movie,Prolific ID
FS_2eSr4fpIdsPJtTP,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Tamil,Yes,Back to the Future (1985),
FS_2DvBlw5DnXXgpVX,EN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Hindi,Yes,Back to the Future (1985),
FS_8sbyed5XBTN9S1z,EN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Mandarin,No,Back to the Future (1985),
R_3qxhLyjxw2cpmeu,EN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,Back to the Future (1985),
R_3ekle36LI2KhSYi,EN,Male,Other,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",English,No,Back to the Future (1985),
R_7tFk5CIdBozOxgB,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Hindi,Yes,Back to the Future (1985),
R_8ehpYaRL0niCa4E,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,Donnie Darko (2001),
R_5FLjGxcX2yeoyoJ,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",English,Yes,Donnie Darko (2001),
R_3rpcPBdvaWX2BRn,EN,Male,Asian,Bachelor’s degree,Hindi,No,Donnie Darko (2001),
R_27wb0PjlUoGYMZ2,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Hindi,No,Donnie Darko (2001),
R_3s0mFccePIIW9SK,EN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Vietnamese,No,Donnie Darko (2001),
R_3CUiDl83lyTmh81,EN,Female,Other,Bachelor’s degree,Urdu,No,Donnie Darko (2001),
R_7JzfcI7tPu5yKkN,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Korean,No,Donnie Darko (2001),
R_1gOAdmC31hqXi5b,EN,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",LOZI,No,Donnie Darko (2001),
R_3JLxqEMbNmaoRja,EN,Male,White or Caucasian,Associates or technical degree,English,No,Elemental (2023),
R_5QGaNhLx9kaexZ1,EN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Hindi,No,Elemental (2023),
R_3tKyQD6FRWU64Hn,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",English,No,Elemental (2023),
R_3pTUvXg8ZnhJMfn,EN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Telugu,No,Elemental (2023),
R_6MY9bBHNXyffzZP,EN,Female,Asian,Bachelor’s degree,TELUGU,Yes,Elemental (2023),
R_3EXcc0dXYGlYCLy,EN,Female,Asian,Bachelor’s degree,korean,Yes,Elemental (2023),
R_60DWNk57DWB2fgB,EN,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Arabic,Yes,Elemental (2023),
R_6JxYFoFuZchTqFb,EN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Korean,Yes,Elemental (2023),
R_5yrBRKmOofofFjb,EN,Female,Asian,Bachelor’s degree,Mongolian,No,Elemental (2023),
R_6VOUqW5vbGau6mr,EN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Mandarin,No,Elemental (2023),
R_47HeJnpz0rlBYOJ,EN,Male,Asian,Bachelor’s degree,Mandarin,Yes,Elemental (2023),
FS_5pijMsHbagbSigs,CN,Female,Asian,Bachelor’s degree,Chinese,No,????,65ac8971ce360492af12e10b
FS_4SusLBAsMisw1kB,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,????,5ca650fc557aec0012e200d8
FS_6rOXEXYHZwF1YhU,CN,Female,Asian,Bachelor’s degree,Chinese,Yes,???,6508f8468c5da4665628b834
FS_6LzgUBq1KspDKsF,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,"???,????????",6509b5c86e567afec112af86
FS_3FQbmJnGUpBxGqv,CN,male,Asian,Bachelor’s degree,Chinese,Yes,????,5d8cb1c93a7d5c00196eae92
FS_3zkVxugcveqwvl1,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,"???,????????",6150d629bb4f981da6ff22c5
R_21byrdgv3A5Lo6O,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Don't Remember,????,63d13d214a2a7a3987f88f5b
R_5qwc2cqv99AVZzJ,CN,Female,Asian,Bachelor’s degree,English,Yes,????,
R_4xV0CduidvKTz0U,CN,Female,Asian,Associates or technical degree,Chinese,No,????,
R_4rMWVRoe9avtvxB,CN,male,Asian,Bachelor’s degree,Chinese,Yes,????,
R_4ieRkgD3UX4wH6L,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Don't Remember,????,
R_414M8cae47k83KJ,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,???,
FS_4TnLtsIrp1dB6h4,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,???,
FS_4LNiaDEeDfza80d,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,????,
FS_7hm8vcoan4RZ55g,CN,,Asian,Bachelor’s degree,Chinese,Yes,???,
FS_42D2ZVLOe5iy676,CN,Female,Asian,Bachelor’s degree,Chinese,No,"???,????????",
FS_4zhwcXSdny2BGvh,CN,Female,Asian,Bachelor’s degree,Chinese,Yes,????,
FS_4xxG0lx2lq4Bn6q,CN,Female,Asian,Bachelor’s degree,Chinese,Don't Remember,????,
FS_4OAEJH6mzHLkJ74,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,"???,????????",
R_3sIXlMeOa5samR3,CN,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Don't Remember,???,
R_1NkUlUhNloAsfoA,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,???,
R_6VOUqW5vbGau6mr,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Don't Remember,???,
R_47HeJnpz0rlBYOJ,CN,Male,Asian,Bachelor’s degree,Chinese,Yes,???,
R_4JDCRwQ8MwVAn4o,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,?????,
R_1PcntFLhulhqVzV,CN,Female,Asian,Bachelor’s degree,Chinese,Don't Remember,?????,65beabad4c2ea319391adf87
R_7Fcm3JpmSKuklpv,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,?????,60cee4ec871f36088fe20ff3
R_5lt8KP2s9mBUP6l,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,?????,
FS_3itfFOm6ZsKMxoP,CN,Female,Asian,Bachelor’s degree,Chinese,Don't Remember,,602e763eef81ce9e57528e1e
FS_5D6FELwWslfoc3k,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,?????,6558c3de8efffec04778beb5
R_10nPaOCd086fwAw,CN,male,Asian,Bachelor’s degree,Chinese,Yes,????,656cb3a368b29fde6f42297d
R_5jUsTQk1ZrWwPYl,CN,Female,Asian,Associates or technical degree,Chinese,Yes,??????????,
R_5OGsusBDDGpR9u4,CN,male,Asian,Bachelor’s degree,Chinese,No,????c,
R_6sXDQmIJEIIMj3v,CN,Female,Asian,Bachelor’s degree,Chinese,Yes,????c,
R_63swkxXEteiUD8X,CN,Female,Asian,Bachelor’s degree,Chinese,Yes,?????,
FS_42M5MIrpQZ0lxKt,CN,Female,Asian,Bachelor’s degree,Chinese,Yes,????,
FS_5NeLBIZpdqBRNNH,CN,Female,Asian,Bachelor’s degree,Chinese,No,????c,
FS_2JOvH0T4sa5PruI,CN,male,Asian,Bachelor’s degree,Chinese,Yes,????,
FS_40PcVxEKrHXVUnu,CN,Female,Asian,Bachelor’s degree,Chinese,No,??????????,
FS_6i22rZkDymGhzMH,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,????,
FS_4JSwXmgfkDtJWeJ,CN,male,Asian,Bachelor’s degree,Chinese,Yes,????,
5N0ZN5FCma5Ar6N,CN,Female,Asian,Bachelor’s degree,Cantonese,Yes,????c,655a67b1c4d20ea6c0dc83af
7MKJ25eo4Xd931f,CN,male,Asian,Bachelor’s degree,Chinese,No,????c,5f42d7f515c23f500bd34d57
3zcchXxhZegslcB,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,Yes,????,6509b5c86e567afec112af86
21jtsh2qgsCIBZU,CN,Did not disclose,Asian,Bachelor’s degree,Cantonese,Yes,??????????,64e7e9cacf76d2e8deb2c7d5
4sbfJHiQRUJ1eCP,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,????,65b82cc0849badb85cdf912b
2Pn8OvbYhrovZNa,CN,male,Asian,Bachelor’s degree,Chinese,No,?????,62912f1dcd620b716c282102
3shJUpDBzEHMUXl,CN,male,Asian,Bachelor’s degree,Cantonese,No,????c,5fe00cde827f818fe0f356b8
2g8lojnQkFG2kz1,CN,Female,Asian,Bachelor’s degree,Cantonese,No,?????,652fdbbe14ff27e2e06b94ea
4OHuz3Cq6PfOjIy,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Cantonese,Yes,????,6126be8b50ab72b50028f62e
2BmJsJiXGgtUY7m,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Cantonese,Yes,"???,????????",64623fb9c31bd4da22cb60fd
6puGuwslMTGsWAX,CN,male,Asian,Bachelor’s degree,Chinese,No,??????????,5d78ec3b3183ab00199e0943
4MqIxS3hGT2vHHz,CN,male,Asian,Bachelor’s degree,Chinese,No,????,5c74855693f74e001330f8fe
FS_53uGTu79AxTXRQt,CN,male,Asian,High School/Associate's Degree,Chinese,No,????,
FS_4RadTEUgARLJBl4,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,No,?????,
FS_3VOcxvrnKJlmvFZ,CN,male,Asian,Bachelor’s degree,Chinese,?,????,63e538b2184766a67a99e21f
FS_4hxJZhdep96yIOV,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,??,????,60cba845ce728e9261e12f6f
FS_3mWcLVuCu4hEiWn,CN,Female,Asian,Bachelor’s degree,Chinese,?,????,651f16de04324407e195a1e7
FS_4dKhkSckRlEFLFs,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,?,????,6579159231c2d0c4dd8f012b
FS_2dMC1MymQE4781n,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Cantonese,??,????,63f77df437de29d7fd62b0c8
FS_2M52S2jidveGlqM,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,?,????,5d384c97285d1400199a2886
FS_85HnIeqJIxI0cwQ,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,??,????,62fbe44fdf4ca6bd21d3b164
FS_4FI7kPJLEHsAKt3,CN,male,Asian,Bachelor’s degree,Chinese,??,????,5b66cc080e4fb5000109bd11
FS_2Ep2mTe3b36juei,CN,male,Asian,Bachelor’s degree,Chinese,??,????,650613446ae4c5e831c3d836
FS_2dB8aex1uLMUzY1,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,?,????,5e12152ff9e750896b1e2262
FS_1zZKXJhEcGcOZw3,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,?,????,623486657d62ec06d0bda9b5
R_8Gxf3PXFEesoxF1,CN,male,Asian,Bachelor’s degree,Chinese,?,????,59f1cbd343bb6f00014ae2de
R_3lukjMBE7Cdmq4m,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,?,????,614f8d4ccff5a2dc57261b32
R_223BPrhlDvMUToF,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,??,????,594fa525f61b8e00016af178
R_7sztBG34x0KdzA6,CN,male,Asian,Bachelor’s degree,Chinese,?,????,5faefcc22be93b11829e84df
FS_4cZfYbYARYFnniN,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,??,????,5c5377e69e08c50001674e54
FS_5s0UtCoXCJ9nLMa,CN,Female,Asian,Associates or technical degree,Chinese,?,????,647e0f22b1d466181ae694c4
FS_5dLc17xZLYIFusm,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,?,????,65425ed55fbfd4e5357cccfd
FS_3wLZysW6Te1TrIl,CN,male,Asian,Bachelor’s degree,Chinese,??,????,6525f403858fe5cdc54aa01f
FS_1aISbxwWnvRXp7j,CN,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Cantonese,?,????,65e34cc651b91fbbe032fd04
FS_7JXQN16HoWKPZwV,CN,Female,Asian,Bachelor’s degree,Chinese,??,????,610ae16b62f0011d7c897a4b
R_132HWHkbNuictWR,CN,male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Chinese,??,????,5d3522b6eac3d50017df02cb
R_6lWWwUdcLYkmhWQ,CN,male,Asian,Bachelor’s degree,Cantonese,?,????,646184c4dd714ee460118417
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
